"Time","Subsystem #2|Branch Currents|IBkr_tfA","Subsystem #2|Branch Currents|IBkr_tfB","Subsystem #2|Branch Currents|IBkr_tfC"
1.2678,1.033627422,-0.6745399397,-0.3590874825
1.2684,1.055998505,-0.5032928197,-0.5527056854
1.269,1.035037945,-0.3314197801,-0.7036181649
1.2696,0.9764203653,-0.1427339466,-0.8336864187
1.2702,0.8997371565,0.06467269657,-0.9644098531
1.2708,0.7704947515,0.2597895547,-1.030284306
1.2714,0.6136918429,0.4573166662,-1.071008509
1.272,0.4435306916,0.6424557199,-1.085986411
1.2726,0.2606886066,0.7935691036,-1.05425771
1.2732,0.06792527793,0.9068911154,-0.9748163934
1.2738,-0.1391877435,1.022023626,-0.8828358821
1.2744,-0.3345155074,1.080475102,-0.7459595942
1.275,-0.5233475642,1.099268158,-0.5759205934
1.2756,-0.6958012052,1.100343967,-0.4045427616
1.2762,-0.8512133485,1.051257584,-0.2000442357
1.2768,-0.9486775651,0.9585825284,-0.009904963317
1.2774,-1.036854205,0.8450994131,0.191754792
1.278,-1.100492116,0.6957111568,0.404780959
1.2786,-1.09665501,0.5064097332,0.5902452765
1.2792,-1.063751046,0.3360788521,0.7276721936
1.2798,-1.002067784,0.1391947274,0.8628730561
1.2804,-0.895049262,-0.07373633778,0.9687855998
1.281,-0.752391254,-0.2673061905,1.019697445
1.2816,-0.5985853198,-0.4576669477,1.056252267
1.2822,-0.408764735,-0.641357659,1.050122394
1.2828,-0.2193093233,-0.7825279612,1.001837285
1.2834,-0.02930627066,-0.8888984247,0.9182046953
1.284,0.1814481684,-0.990326392,0.8088782236
1.2846,0.380500727,-1.033522884,0.6530221573
1.2852,0.5580538613,-1.035076756,0.4770228951
1.2858,0.7188284251,-1.014082762,0.2952543372
1.2864,0.8677511628,-0.9625136976,0.09476253474
1.287,0.9578648686,-0.8549981659,-0.1028667027
1.2876,1.032150647,-0.7269550191,-0.3051956281
1.2882,1.074336834,-0.5732126833,-0.5011241503
1.2888,1.062270936,-0.3911871398,-0.6710837958
1.2894,1.015705493,-0.2150392149,-0.8006662784
1.29,0.9511332211,-0.01399074841,-0.9371424727
1.2906,0.8351217058,0.1903414383,-1.025463144
1.2912,0.6899469374,0.3868478152,-1.076794753
1.2918,0.5305450083,0.5709893521,-1.10153436
1.2924,0.3406365004,0.7399335593,-1.08057006
1.293,0.1555149847,0.8670762284,-1.022591213
1.2936,-0.04482949698,0.980252425,-0.935422928
1.2942,-0.2519611568,1.059525868,-0.8075647114
1.2948,-0.4454305575,1.088689492,-0.643258935
1.2954,-0.6203686344,1.094884202,-0.4745155674
1.296,-0.7842295089,1.06093075,-0.2767012406
1.2966,-0.9072031261,0.9891039856,-0.08190085956
1.2972,-0.9896658226,0.8793912563,0.1102745663
1.2978,-1.06451171,0.7382718256,0.3262398848
1.2984,-1.086511106,0.5646730452,0.5218380612
1.299,-1.067428396,0.3902093432,0.6772190524
1.2996,-1.011372821,0.2018105719,0.8095622493
1.3002,-0.940885724,-0.01041198687,0.9512977109
1.3008,-0.8132044219,-0.2091924456,1.022396868
1.3014,-0.644926499,-0.4040444316,1.048970931
1.302,-0.4722778823,-0.5894436675,1.06172155
1.3026,-0.2926064568,-0.7432926019,1.035899059
1.3032,-0.09747160764,-0.8546329862,0.9521045938
1.3038,0.1117331698,-0.9683508807,0.8566177108
1.3044,0.304963485,-1.028792423,0.7238289384
1.305,0.4943529603,-1.039968457,0.5456154971
1.3056,0.6624590787,-1.032751454,0.3702923754
1.3062,0.8137835711,-0.9882495316,0.1744659605
1.3068,0.9126012329,-0.8987536576,-0.01384757533
1.3074,1.002303703,-0.7846086573,-0.2176950455
1.308,1.067501905,-0.6414288277,-0.4260730769
1.3086,1.066656802,-0.4579157832,-0.6087410184
1.3092,1.036370639,-0.2898527433,-0.7465178956
1.3098,0.9796445332,-0.09658777991,-0.8830567533
1.3104,0.8799415261,0.1124119869,-0.992353513
1.311,0.7425141666,0.3062789266,-1.048793093
1.3116,0.5935938417,0.4976185868,-1.091212428
1.3122,0.4064894064,0.6824352022,-1.088924609
1.3128,0.2192798982,0.8268769958,-1.046156894
1.3134,0.03136086002,0.9354200841,-0.9667809441
1.314,-0.1809965507,1.038559172,-0.8575626212
